date,SPY,EWJ
1999-11-01,135.5625,14.63
1999-11-02,134.5937,14.69
1999-11-03,135.5,14.88
1999-11-04,136.5312,14.94
1999-11-05,137.875,14.88
1999-11-08,138.0,14.81
1999-11-09,136.7031,14.81
1999-11-10,137.7187,15.06
1999-11-11,138.5,14.94
1999-11-12,139.75,15.0
1999-11-15,140.0781,14.94
1999-11-16,141.25,14.88
1999-11-17,141.625,14.94
1999-11-18,142.625,15.19
1999-11-19,142.5,15.25
1999-11-22,142.4687,15.5
1999-11-23,141.2187,15.44
1999-11-24,141.9687,15.44
1999-11-26,141.4375,15.75
1999-11-29,140.9375,15.63
1999-11-30,139.2812,15.25
1999-12-01,140.4062,15.25
1999-12-02,141.25,15.31
1999-12-03,143.8437,15.56
1999-12-06,142.7812,15.25
1999-12-07,141.625,15.38
1999-12-08,140.7187,15.13
1999-12-09,141.4062,15.31
1999-12-10,141.875,15.38
1999-12-13,142.125,15.13
1999-12-14,140.75,14.94
1999-12-15,141.5,15.0
1999-12-16,142.125,15.19
1999-12-17,142.6875,15.25
1999-12-20,141.6562,15.38
1999-12-21,143.8125,15.19
1999-12-22,144.1875,15.56
1999-12-23,146.4843,15.69
1999-12-27,146.2812,15.56
1999-12-28,146.1875,15.94
1999-12-29,146.8125,16.19
1999-12-30,146.6406,16.19
1999-12-31,146.875,16.31
2000-01-03,145.4375,16.19
2000-01-04,139.75,15.75
2000-01-05,140.0,15.38
2000-01-06,137.75,14.69
2000-01-07,145.75,15.0
2000-01-10,146.25,15.25
2000-01-11,144.5,15.13
2000-01-12,143.0625,15.0
2000-01-13,145.0,15.25
2000-01-14,146.9687,15.38
2000-01-18,145.8125,15.25
2000-01-19,147.0,15.13
2000-01-20,144.75,15.0
2000-01-21,144.4375,14.94
2000-01-24,140.3437,14.88
2000-01-25,141.9375,15.06
2000-01-26,140.8125,15.25
2000-01-27,140.25,15.13
2000-01-28,135.875,15.0
2000-01-31,139.5625,15.38
2000-02-01,140.9375,15.38
2000-02-02,141.0625,15.5
2000-02-03,143.1875,15.75
2000-02-04,142.5937,16.0
2000-02-07,142.375,15.75
2000-02-08,144.3125,15.5
2000-02-09,141.2812,15.5
2000-02-10,141.5625,15.5
2000-02-11,138.6875,15.38
2000-02-14,139.5,15.63
2000-02-15,141.0781,15.13
2000-02-16,139.0,15.06
2000-02-17,138.2812,15.19
2000-02-18,135.3125,14.94
2000-02-22,134.9687,14.69
2000-02-23,136.5625,14.56
2000-02-24,133.8125,14.63
2000-02-25,133.3281,14.81
2000-02-28,136.125,15.06
2000-02-29,137.4375,15.19
2000-03-01,138.4375,15.5
2000-03-02,138.5312,15.19
2000-03-03,141.125,15.31
2000-03-06,139.75,14.75
2000-03-07,137.0468,14.94
2000-03-08,136.875,15.19
2000-03-09,140.875,15.06
2000-03-10,140.125,14.94
2000-03-13,138.5937,14.19
2000-03-14,136.625,14.44
2000-03-15,139.8125,14.63
2000-03-16,146.3437,15.19
2000-03-17,146.9375,15.0
2000-03-20,146.1875,15.13
2000-03-21,149.1875,15.05
2000-03-22,150.0937,14.94
2000-03-23,152.6562,14.94
2000-03-24,153.5625,14.94
2000-03-27,151.9375,15.13
2000-03-28,151.0625,15.5
2000-03-29,151.2187,16.0
2000-03-30,148.6875,15.88
2000-03-31,150.375,16.5
2000-04-03,151.25,16.31
2000-04-04,150.125,15.88
2000-04-05,149.1875,15.94
2000-04-06,150.4843,15.88
2000-04-07,151.4375,15.94
2000-04-10,150.8437,15.88
2000-04-11,150.4062,15.75
2000-04-12,146.2812,15.88
2000-04-13,144.25,15.63
2000-04-14,136.0,15.13
2000-04-17,140.75,15.13
2000-04-18,144.4687,15.19
2000-04-19,143.125,15.06
2000-04-20,143.8125,15.31
2000-04-24,142.25,15.25
2000-04-25,148.1562,15.69
2000-04-26,146.4843,15.38
2000-04-27,146.0,15.19
2000-04-28,145.0937,15.25
2000-05-01,147.0625,15.56
2000-05-02,144.125,15.38
2000-05-03,140.75,15.19
2000-05-04,141.8125,15.38
2000-05-05,143.5312,15.38
2000-05-08,142.4531,15.25
2000-05-09,141.3125,15.06
2000-05-10,138.125,14.94
2000-05-11,141.2812,14.76
2000-05-12,142.8125,15.0
2000-05-15,145.2812,14.94
2000-05-16,146.6875,15.0
2000-05-17,145.1562,14.63
2000-05-18,143.375,14.69
2000-05-19,141.125,14.5
2000-05-22,140.0625,14.13
2000-05-23,138.0,14.13
2000-05-24,140.25,14.38
2000-05-25,137.8437,14.25
2000-05-26,138.0,14.38
2000-05-30,142.5,14.75
