date,AAPL_1min,MSFT_1min
2025-06-13 18:19:00,,474.59
2025-06-13 18:20:00,196.6,474.6
2025-06-13 18:21:00,196.6,474.6
2025-06-13 18:22:00,196.5988,474.7
2025-06-13 18:23:00,196.58,474.65
2025-06-13 18:24:00,196.56,474.61
2025-06-13 18:25:00,196.55,474.62
2025-06-13 18:26:00,196.4987,474.65
2025-06-13 18:27:00,196.45,474.65
2025-06-13 18:28:00,196.5,474.6
2025-06-13 18:29:00,196.45,474.64
2025-06-13 18:30:00,196.49,474.65
2025-06-13 18:31:00,196.5,474.65
2025-06-13 18:32:00,196.44,474.6
2025-06-13 18:33:00,196.41,474.6
2025-06-13 18:34:00,196.47,474.5
2025-06-13 18:35:00,196.45,474.35
2025-06-13 18:36:00,196.48,474.0
2025-06-13 18:37:00,196.5,474.47
2025-06-13 18:38:00,196.5,474.35
2025-06-13 18:39:00,196.42,474.35
2025-06-13 18:40:00,196.5,474.35
2025-06-13 18:41:00,196.5,474.44
2025-06-13 18:42:00,196.5,474.31
2025-06-13 18:43:00,196.47,474.31
2025-06-13 18:44:00,196.5,474.6
2025-06-13 18:45:00,196.5,474.35
2025-06-13 18:46:00,196.5,474.0
2025-06-13 18:47:00,196.47,474.39
2025-06-13 18:48:00,196.45,474.35
2025-06-13 18:49:00,196.46,474.0
2025-06-13 18:50:00,196.4599,474.1444
2025-06-13 18:51:00,196.45,474.69
2025-06-13 18:52:00,196.45,474.0172
2025-06-13 18:53:00,196.46,474.28
2025-06-13 18:54:00,196.48,474.3
2025-06-13 18:55:00,196.44,474.3
2025-06-13 18:56:00,196.47,474.345
2025-06-13 18:57:00,196.49,474.37
2025-06-13 18:58:00,196.46,474.4
2025-06-13 18:59:00,196.46,474.1071
2025-06-13 19:00:00,196.4597,474.6999
2025-06-13 19:01:00,196.49,474.375
2025-06-13 19:02:00,196.49,474.24
2025-06-13 19:03:00,196.45,474.375
2025-06-13 19:04:00,196.45,474.4
2025-06-13 19:05:00,196.48,474.4
2025-06-13 19:06:00,196.48,474.4
2025-06-13 19:07:00,196.4492,474.275
2025-06-13 19:08:00,196.45,474.5
2025-06-13 19:09:00,196.45,474.2502
2025-06-13 19:10:00,196.42,474.325
2025-06-13 19:11:00,196.45,474.325
2025-06-13 19:12:00,196.45,474.325
2025-06-13 19:13:00,196.42,474.325
2025-06-13 19:14:00,196.43,474.37
2025-06-13 19:15:00,196.46,474.15
2025-06-13 19:16:00,196.45,474.35
2025-06-13 19:17:00,196.45,474.3
2025-06-13 19:18:00,196.47,474.35
2025-06-13 19:19:00,196.48,474.35
2025-06-13 19:20:00,196.45,474.4
2025-06-13 19:21:00,196.42,474.36
2025-06-13 19:22:00,196.44,474.7
2025-06-13 19:23:00,196.45,474.425
2025-06-13 19:24:00,196.45,474.425
2025-06-13 19:25:00,196.44,474.38
2025-06-13 19:26:00,196.4394,474.29
2025-06-13 19:27:00,196.44,474.2
2025-06-13 19:28:00,196.43,474.29
2025-06-13 19:29:00,196.4307,
2025-06-13 19:30:00,196.45,474.29
2025-06-13 19:31:00,196.4,474.42
2025-06-13 19:32:00,196.4,474.275
2025-06-13 19:33:00,196.41,474.28
2025-06-13 19:34:00,196.41,474.42
2025-06-13 19:35:00,196.44,474.25
2025-06-13 19:36:00,196.44,474.42
2025-06-13 19:37:00,196.42,474.42
2025-06-13 19:38:00,196.42,474.3
2025-06-13 19:39:00,196.4,474.3
2025-06-13 19:40:00,196.4186,474.69
2025-06-13 19:41:00,196.41,474.35
2025-06-13 19:42:00,196.41,474.42
2025-06-13 19:43:00,196.39,474.42
2025-06-13 19:44:00,196.3986,474.275
2025-06-13 19:45:00,196.35,474.2
2025-06-13 19:46:00,196.3692,474.275
2025-06-13 19:47:00,196.38,474.27
2025-06-13 19:48:00,196.36,474.1512
2025-06-13 19:49:00,196.31,474.2
2025-06-13 19:50:00,196.3298,474.25
2025-06-13 19:51:00,196.31,474.52
2025-06-13 19:52:00,196.32,474.535
2025-06-13 19:53:00,196.31,474.95
2025-06-13 19:54:00,196.35,474.6
2025-06-13 19:55:00,196.35,474.1837
2025-06-13 19:56:00,196.31,474.08
2025-06-13 19:57:00,196.3499,474.485
2025-06-13 19:58:00,196.38,474.2
2025-06-13 19:59:00,196.4,474.21
